,id,Age,Gender,Reviews_Read,Price,Discount,Category,Items_In_Cart,Email_Interaction,Socioeconomic_Status_Score,Engagement_Score,AB_Bucket,Price_Sine,Day,Purchase,Time_of_Day_afternoon,Time_of_Day_evening,Time_of_Day_morning,Device_Type_desktop,Device_Type_mobile,Device_Type_tablet,Payment_Method_bank,Payment_Method_cash,Payment_Method_credit,Payment_Method_paypal,Referral_Source_ads,Referral_Source_direct,Referral_Source_email,Referral_Source_search_engine,Referral_Source_social_media,PM_RS_Combo_bank:ads,PM_RS_Combo_bank:direct,PM_RS_Combo_bank:email,PM_RS_Combo_bank:search_engine,PM_RS_Combo_bank:social_media,PM_RS_Combo_cash:ads,PM_RS_Combo_cash:direct,PM_RS_Combo_cash:email,PM_RS_Combo_cash:search_engine,PM_RS_Combo_cash:social_media,PM_RS_Combo_credit:ads,PM_RS_Combo_credit:direct,PM_RS_Combo_credit:email,PM_RS_Combo_credit:search_engine,PM_RS_Combo_credit:social_media,PM_RS_Combo_paypal:ads,PM_RS_Combo_paypal:direct,PM_RS_Combo_paypal:email,PM_RS_Combo_paypal:search_engine,PM_RS_Combo_paypal:social_media,Campaign_Period_false,Campaign_Period_true,Session_ID
10,11,36.0,0.0,4.0,762.26,20.0,2.0,7.0,1.0,2.62,5.58590843842961,5.0,-0.997970373660031,58.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000019
11,12,27.0,0.0,2.0,431.6,4.0,4.0,2.0,0.0,0.0,1.71732220673534,1.0,-0.914780195975801,45.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000022
12,13,65.0,0.0,2.0,948.955,27.0,1.0,1.0,1.0,6.23,3.95600536910236,2.0,0.634493380475653,56.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000023
13,14,21.0,0.23604586930430319,2.0,65.749,33.0,0.0,3.0,0.0,0.64,5.05624580534831,3.0,-0.489162760054413,66.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000024
14,15,28.0,1.0,3.0,976.943,46.0,1.0,3.0,0.0,6.430264356758217,3.60337340881602,5.0,-0.762737765843132,45.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,s0000026
15,16,37.0,0.0,5.0,732.919,35.0,4.0,6.0,0.0,7.6,1.1077528229273,6.0,0.12267249836613,21.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000027
16,17,21.0,0.0,1.0,35.129,7.0,3.0,5.4398513419165635,1.0,11.63,3.00236778356728,1.0,0.928362107171014,65.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000029
17,18,47.846694965721866,0.0,3.0,531.248,37.0,3.0,2.0,0.0,8.15,1.03972077083992,3.0,-0.020576526814544593,57.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000031
18,19,39.443501858721305,0.0,4.0,174.999,27.0,1.0,0.0,0.0,5.01,2.27487828496586,4.0,-0.293024537401879,56.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000032
19,20,25.0,0.0,2.0,241.50766211684754,27.0,0.0,1.0,0.0,8.45,1.01685304536045,5.0,-0.618762956895831,35.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,s0000033
20,21,44.0,1.0,3.0,983.116,29.0,0.0,9.0,0.0,1.32,3.55841973261441,0.0,-0.935785499804142,43.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000035
21,22,37.66233899880897,0.0,5.0,485.433,50.0,3.0,5.0,0.0,5.97,0.749260138686649,2.0,0.965102336337725,35.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000037
22,23,23.0,1.0,2.0,252.387,38.0,1.0,1.0,0.0,6.13,3.51847041508314,3.0,0.993318034094898,11.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000038
23,24,27.0,0.0,5.0,661.209,31.0,0.0,3.0,1.0,6.45,4.17943866775104,0.0,-0.822207472674068,60.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000042
24,25,34.21579917334385,0.8126733204615844,3.0,376.683,7.0,4.0,5.0,1.0,1.8,0.11982929094216,1.0,0.874456954848802,54.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000043
25,26,40.0,1.0,3.0,529.302,15.0,1.3980893233741747,8.0,0.0,4.14,3.98238441421112,3.0,-0.904980031468935,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,s0000045
26,27,24.0,0.0,3.0,755.008,2.0,1.0,8.0,0.0,6.15,2.20737365029729,4.0,-0.893097576479816,25.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000046
27,28,35.0,0.0,2.0,453.803,12.0,4.0,5.0,1.0,5.36,6.21872363361202,6.0,0.0784558385190475,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000048
28,29,18.0,0.0,4.0,946.062,35.0,4.0,2.0,0.0,6.85,1.79842145459878,0.0,0.750008619823852,58.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000049
29,30,65.0,1.0,1.0,271.637,3.0,0.0,0.0,0.0,4.29,2.04755037905127,1.0,0.578606266858176,24.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000050
30,31,20.0,0.0,6.0,671.326,8.0,1.0,3.0,0.0,10.15,2.06356719252255,2.0,-0.392384852031155,37.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000051
31,32,22.0,1.0,2.0,170.187,47.0,0.0,1.0,0.0,2.73,2.29397927669353,5.0,-0.0300508478046509,50.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000054
32,33,41.04105001239596,0.0,1.0,681.315,14.0,2.0,1.0,1.0,13.08,2.65039933853872,6.0,0.151140069976722,16.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000055
33,34,39.0,0.0,1.0,273.342,18.0,4.0,5.0,0.0,9.08,2.17888484458317,1.0,0.498871860366465,69.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000057
34,35,23.0,0.0,1.0,143.511,16.0,3.0,2.0,0.0,3.35,4.59638724400205,3.0,0.992945446872176,23.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,s0000059
35,36,65.0,0.0,1.0,268.408,48.0,2.0,2.0,0.0,8.3,3.26011292661785,4.0,0.71484869683824,48.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000060
36,37,25.0,1.0,5.0,826.369,40.0,1.0,4.0,0.21729478211880415,8.49,0.35213065449747,5.0,0.937195429543422,68.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,s0000061
37,38,33.0,1.0,5.0,99.169,14.0,2.0,3.0,1.0,6.43,1.34591923810378,6.0,-0.698855704657457,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000062
38,39,18.0,0.0,4.0,463.30558144523906,4.0,3.0,10.0,0.0,10.66,0.312961840434252,0.0,0.920186299876468,63.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000063
39,40,25.0,0.0,5.0,295.419,40.0,3.0,4.0,0.0,0.0,3.31146272348947,1.0,-0.647426923248453,20.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000064
40,41,41.0,1.0,1.0,170.288,8.0,2.0,2.0,1.0,5.71,4.95105415433615,4.0,-0.0356589222785879,48.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000067
41,42,25.0,0.41403105411587376,2.0,574.838,10.0,4.0,5.0,1.0,4.43,1.41426424859432,5.0,0.496461711909751,15.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000068
42,43,24.0,0.0,4.0,903.956,40.0,0.0,2.4740153975351404,0.0,10.41,3.21656118883052,6.0,-0.0456887691014188,37.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000069
43,44,65.0,0.0,3.0,528.428,35.0,0.0,3.0,1.0,6.83,2.70461131316705,1.0,-0.883263390642867,58.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,s0000071
44,45,28.0,0.0,1.0,645.044,44.0,2.0,2.0,0.0,7.39,0.408492927337474,3.0,-0.957515118719859,17.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000073
45,46,25.0,0.0,5.0,975.82,26.0,0.0,1.0,1.0,5.31,2.48439049898574,4.0,-0.720932599621293,38.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000074
46,47,65.0,1.0,4.0,504.828,38.0,3.0,5.0,1.0,7.07,2.91962809958459,6.0,0.226354965052223,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,s0000076
47,48,28.94272020753737,0.0,2.0,922.252,29.0,2.0,6.0,1.0,2.4,0.171213307942466,0.0,0.825303676276592,43.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000077
48,49,21.0,1.0,4.0,331.42,34.0,4.0,5.0,1.0,0.84,5.56419685705998,1.0,-0.42352561391141,54.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000078
49,50,27.0,0.0,4.0,150.595,15.0,1.0,1.0,0.0,4.45,2.15169691155655,2.0,0.871566812982106,14.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000079
50,51,31.18424274424348,0.0,4.0,637.106,10.0,0.0,0.0,0.0,6.93,5.16993904314979,3.0,-0.74281053373538,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,s0000080
51,52,38.0,1.0,1.0,17.178,31.0,0.0,2.0,1.0,3.61,2.01714172501246,4.0,0.815928486565919,70.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,s0000081
52,53,20.0,1.0,4.0,719.175,8.0,4.0,0.0,0.0,6.07,1.76748204139685,5.0,0.774887963216937,31.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000082
53,54,20.0,1.0,3.0,449.347,34.0,0.0,5.0,0.0,15.04,0.660150985265367,2.0,-0.168215415562053,44.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,s0000086
54,55,24.0,0.2020635475437263,6.0,804.826,5.0,2.0,16.0,0.0,2.0,2.67166693464061,4.0,0.667062169750846,29.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,s0000088
55,56,21.612496057326595,0.0,4.0,477.479,47.0,4.0,3.0,0.0,10.79,2.70984070763552,5.0,0.984389302213253,28.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,s0000089
56,57,55.0,0.0,0.0,648.552,47.0,1.0,3.0,0.0,8.6,4.56572465150158,0.0,-0.995236138293121,48.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,s0000091
